canonical_name,price_bucket,sample_count,avg_mat_unit_price,avg_labor_unit_price,avg_exp_unit_price,mat_ratio,labor_ratio,exp_ratio,source_files
벽체우레탄,35000-35999,3,4833.3,4366.7,500.0,49.8,45.0,5.2,"100평~200평 미만 복합_35,000원(0.5mm당 2000원).xlsx,50평 미만 우레탄_35,000원.xlsx,50평~100평 미만 우레탄_35,000원.xlsx"
벽체우레탄,36000-36999,3,5000.0,4300.0,500.0,51.0,43.9,5.1,"50평 미만 우레탄_36,000원.xlsx,50평~100평 미만 복합_36,000원.xlsx,50평~100평 미만 우레탄_36,000원.xlsx"
벽체우레탄,37000-37999,3,5000.0,4300.0,500.0,51.0,43.9,5.1,"50평 미만 우레탄_37,000원.xlsx,50평~100평 미만 복합_37,000원.xlsx,50평~100평 미만 우레탄_37,000원.xlsx"
벽체우레탄,38000-38999,2,5000.0,4300.0,500.0,51.0,43.9,5.1,"50평 미만 복합_38,000원.xlsx,50평~100평 미만 복합_38,000원.xlsx"
벽체우레탄,39000-39999,2,5000.0,4300.0,500.0,51.0,43.9,5.1,"50평 미만 복합_39,000원.xlsx,50평~100평 미만 복합_39,000원.xlsx"
벽체우레탄,40000-40999,2,5000.0,4300.0,500.0,51.0,43.9,5.1,"50평 미만 복합_40,000원.xlsx,50평~100평 미만 복합_40,000원.xlsx"
벽체우레탄,41000-41999,2,5000.0,4300.0,500.0,51.0,43.9,5.1,"50평 미만 복합_41,000원.xlsx,50평~100평 미만 복합_41,000원.xlsx"
벽체우레탄,42000-42999,2,5000.0,4300.0,500.0,51.0,43.9,5.1,"50평 미만 복합_42,000원.xlsx,50평~100평 미만 복합_42,000원.xlsx"
벽체우레탄,43000-43999,1,5000.0,4300.0,500.0,51.0,43.9,5.1,"50평 미만 복합_43,000원.xlsx"
벽체우레탄,44000-44999,1,5000.0,4300.0,500.0,51.0,43.9,5.1,"50평 미만 복합_44,000원.xlsx"
벽체우레탄,48000-48999,1,5500.0,4300.0,1000.0,50.9,39.8,9.3,"20평 이하 소형평수_48,000원.xlsx"
벽체우레탄,50000-50999,1,5500.0,4300.0,1000.0,50.9,39.8,9.3,"20평 이하 소형평수_50,000원.xlsx"
복합시트,29000-29999,1,7800.0,4000.0,200.0,65.0,33.3,1.7,"200평 이상 복합_29,000원(0.5mm당 1500원).xlsx"
복합시트,30000-30999,1,7800.0,4500.0,300.0,61.9,35.7,2.4,"200평 이상 복합_30,000원(0.5mm당 1500원).xlsx"
복합시트,31000-31999,1,8500.0,4800.0,300.0,62.5,35.3,2.2,"200평 이상 복합_31,000원(0.5mm당 1500원).xlsx"
복합시트,32000-32999,2,8900.0,5000.0,350.0,62.5,35.1,2.5,"100평~200평 미만 복합_32,000원(0.5mm당 1600원).xlsx,200평 이상 복합_32,000원(0.5mm당 1500원).xlsx"
